term,n,y0,peak_year,peak_share_pct,prevalence_2021_2025_pct,docs_total,kandydaci_na_poprzednika,tytuly_okolo_y0,tytuly_2023_2025,autor_top_pct,autor_eff_n,kraj_top,kraj_top_pct,kraj_eff_n,kraj_brak_pct,czasopismo_top_nlm,czasopismo_top_pct,czasopismo_eff_n,nachylenie_log,czas_podwojenia_lat,trwalosc_2025_do_szczytu,prac_w_oknie,kategoria,poprzednik,uwagi
robotic,1,2020,2025,2.903,1.996,2233,"navigated total knee (lift 20.7, wsp. 10); sectioned (lift 17.6, wsp. 11); medtronic (lift 17.3, wsp. 8); computer navigation (lift 15.9, wsp. 20); 6 degree (lift 14.5, wsp. 22)",[2019] Robotic-assisted Medial Unicompartmental Knee Arthroplasty: Options and Outcomes. | [2019] Three-Dimensional Takeoff Step Kinetics of Long Jumpers with and without a Transtibial Amputation. | [2019] Assuring the long-term total joint arthroplasty: a triad of variables.,"[2023] Caliper-Verified Kinematically Aligned Total Knee Arthroplasty: Rationale, Targets, Accuracy, Balancing, Implant Survival, and Outcomes. | [2023] Hot Topics and Current Controversies in Total Knee Arthroplasty. | [2023] A review of advances in image-guided orthopedic surgery.",0.5,1105.6,USA,34.2,5.9,6.9,9314730,8.5,33.9,0.238,2.9,1.0,1615,,,
and patient reported,3,2012,2025,2.441,1.943,2243,"bearing total (lift 19.8, wsp. 5); arthroplasty of the (lift 14.2, wsp. 4); design prospective (lift 6.6, wsp. 4); level iv therapeutic (lift 6.2, wsp. 5); therapeutic study see (lift 5.6, wsp. 4)",[2011] Is discharge knee range of motion a useful and relevant clinical indicator after total knee replacement? Part 2. | [2011] Anatomic plantar plate repair using the Weil metatarsal osteotomy approach. | [2011] Strength and function recovery after multiple-ligament reconstruction of the knee.,[2023] Quadriceps Strength and Knee-Related Symptom State 6 Months After Anterior Cruciate Ligament Reconstruction. | [2023] Oral functioning after open versus closed treatment of unilateral condylar neck or base fractures: A two-centre controlled clinical trial. | [2023] Radiographic alignment outcomes after the single-position prone transpsoas approach: a multi-institutional retrospective review of 363 cases.,0.2,1816.0,USA,46.0,4.3,10.4,8703515,8.8,37.0,0.222,3.1,1.0,2209,,,
patient specific,2,2015,2025,2.736,1.893,2909,"instrumentation for (lift 20.0, wsp. 28); computer assisted surgery (lift 18.1, wsp. 19); instrumentation the (lift 14.6, wsp. 14); rapid prototyping (lift 13.0, wsp. 12); a computer assisted (lift 12.8, wsp. 7)",[2014] Patient-specific guides do not improve accuracy in total knee arthroplasty: a prospective randomized controlled trial. | [2014] Bioreactor cultivation of anatomically shaped human bone grafts. | [2014] Patient-specific instrumentation and return to activities after unicondylar knee arthroplasty.,[2023] Functional Performance Outcomes of a Powered Knee-Ankle Prosthesis in Service Members With Unilateral Transfemoral Limb Loss. | [2023] Guided Bone Regeneration for Horizontal Maxillary Alveolar Ridge Augmentation Using Patient-Specific Solid Titanium Barriers: A Case Series | [2023] Failed and Revision Rotator Cuff Repair.,0.2,1994.6,USA,27.3,9.2,9.3,8703515,4.7,73.1,0.081,8.6,1.0,2460,,,
propensity score,2,2012,2025,2.963,1.883,2126,"limb ischemia cli (lift 12.7, wsp. 5); hip replacement in (lift 9.7, wsp. 5); we studied (lift 7.0, wsp. 4); of background data (lift 4.7, wsp. 14); summary of background (lift 4.7, wsp. 14)",[2011] Infrainguinal percutaneous transluminal angioplasty or bypass surgery in patients aged 80 years and older with critical leg ischaemia. | [2011] Infrainguinal bypass is associated with lower perioperative mortality than major amputation in high-risk surgical candidates. | [2011] Outcomes for single-level lumbar fusion: the role of bone morphogenetic protein.,[2023] Similar short-term KOOS between open-wedge high tibial osteotomy and total knee arthroplasty in patients over age 60: A propensity score-matched cohort study. | [2023] Risk of Postoperative Sciatic Nerve Palsy After Posterior Acetabular Fracture Fixation: Does Patient Position Matter? | [2023] Comparison of the clinical outcomes following total knee arthroplasty in osseous ankylosed and non-ankylosed knees using propensity-score matching.,0.4,1453.1,USA,41.2,4.8,11.1,8703515,11.9,37.7,0.221,3.1,1.0,2090,,,
clinically important difference,3,2016,2025,2.12,1.845,2041,"searched the cochrane (lift 34.4, wsp. 7); quasi randomized (lift 29.4, wsp. 7); of the sf (lift 20.3, wsp. 6); author conclusion (lift 18.2, wsp. 6); see the (lift 16.0, wsp. 6)",[2015] Recurrent Versus Primary Lumbar Disc Herniation Surgery: Patient-reported Outcomes in the Swedish Spine Register Swespine. | [2016] Cost-Utility Analysis of 1- and 2-Level Dorsal Lumbar Fusions With and Without Recombinant Human Bone Morphogenic Protein-2 at 1-Year Follow-Up. | [2015] Preservation of the rectus femoris origin during periacetabular osteotomy does not compromise acetabular reorientation.,[2023] Improvement following minimally invasive transforaminal lumbar interbody fusion in patients aged 70 years or older compared with younger age groups. | [2023] Minimally invasive versus open transforaminal lumbar interbody fusion for grade I lumbar spondylolisthesis: 5-year follow-up from the prospective multicenter Quality Outcomes Database registry. | [2023] Establishing minimum clinically important difference for patient-reported outcome measures in patients undergoing lateral lumbar interbody fusion.,1.0,913.9,USA,54.4,3.2,8.2,8506498,18.5,15.0,0.212,3.3,1.0,1864,,,
associated with increased,3,2019,2025,2.328,1.831,2929,"of carpal (lift 6.6, wsp. 5); hip replacement for (lift 5.9, wsp. 6); epidural anesthesia (lift 5.3, wsp. 6); thromboembolism after (lift 4.8, wsp. 4); limb ischemia cli (lift 4.7, wsp. 14)","[2018] Intraoperative Hypothermia is Common, but not Associated With Blood Loss or Transfusion in Pediatric Posterior Spinal Fusion. | [2018] Is Body Mass Index a Risk Factor for Revision Procedures After Minimally Invasive Transforaminal Lumbar Interbody Fusion? | [2018] Tissue Engineered Bone Differentiated From Human Adipose Derived Stem Cells Inhibit Posterolateral Fusion in an Athymic Rat Model.",[2023] Risk of Postoperative Sciatic Nerve Palsy After Posterior Acetabular Fracture Fixation: Does Patient Position Matter? | [2023] Preoperative Blood Loss of Isolated Acetabular Fractures. | [2023] Preoperative Comorbidities Associated With Early Mortality in Hip Fracture Patients: A Multicenter Study.,0.3,1618.2,USA,61.1,2.6,13.6,8703515,14.0,31.5,0.071,9.8,1.0,1832,,,
undergoing primary,2,2022,2025,1.986,1.736,2800,"prospectively randomized (lift 10.4, wsp. 7); 100 consecutive (lift 5.7, wsp. 6); time of final (lift 5.5, wsp. 4); also were (lift 5.5, wsp. 4); hip replacement were (lift 5.2, wsp. 6)",[2021] Diabetes Status Affects Odds of Body Mass Index-dependent Adverse Outcomes After Total Hip Arthroplasty. | [2021] Effect of Operative Timing and Bone Grafting on Postoperative Cephalometric Indices in Nonsyndromic Sagittal Synostosis. | [2021] A Matched Control Analysis on the Effects of Alcohol Use Disorder After Primary Total Knee Arthroplasty in Medicare Patients.,[2023] Predisposing factors for allogeneic blood transfusion in patients with ankylosing spondylitis undergoing primary unilateral total hip arthroplasty: a retrospective study. | [2023] Effectiveness of different antithrombotic agents in combination with tranexamic acid for venous thromboembolism prophylaxis and blood management after total knee replacement: a prospective randomized study. | [2023] Avoiding Lateral Laxity in Robotic Arm-Assisted Total Knee Arthroplasty-A Surgical Technique Describing a New Method of Gap Capture and Balancing Strategy.,0.5,831.6,USA,57.1,2.9,9.1,8703515,21.2,16.1,0.05,14.0,1.0,1058,,,
a single center,3,2016,2025,2.094,1.735,2361,"one patient required (lift 8.3, wsp. 5); polyethylene in (lift 7.9, wsp. 4); patient four (lift 7.6, wsp. 4); patient developed a (lift 7.3, wsp. 6); duplex (lift 6.9, wsp. 5)",[2015] Anterior or posterior surgery for right thoracic adolescent idiopathic scoliosis (AIS)? A prospective cohorts' comparison using radiologic and functional outcomes. | [2015] Coronal Spinal Balance in Adult Spine Deformity Patients With Long Spinal Fusions: A Minimum 2- to 5-Year Follow-up Study. | [2015] Validity of E-PASS System for Postoperative Morbidity of Spinal Surgery.,[2023] Thin highly cross-linked polyethylene liners combined with large femoral heads in primary total hip arthroplasty show excellent survival and low wear rates at a mean follow-up of 12.8 years. | [2023] A clinical and radiological matched-pair analysis of patients treated with the PRECICE and STRYDE magnetically driven motorized intramedullary lengthening nails. | [2023] Robotic guidance for percutaneous placement of triangular osteosynthesis in vertically unstable sacrum fractures: a single-center retrospective study.,0.5,1684.7,USA,19.6,11.5,9.1,101494830,4.6,68.9,0.123,5.6,1.0,1991,,,
clinical efficacy,2,2019,2025,2.468,1.68,2199,"female ranging in (lift 23.0, wsp. 7); ranging in age (lift 17.6, wsp. 9); lower cervical (lift 17.4, wsp. 10); an excellent result (lift 14.7, wsp. 6); month all the (lift 14.4, wsp. 7)","[2018] Clinical and Radiological Mid-Term Outcomes of Lumbar Single-Level Total Disc Replacement. | [2018] One-stage Posterior Approach in the Treatment of Consecutive Multi-segment Thoracic Tuberculosis with Kyphosis. | [2019] Which Combination Treatment Is Better for Spinal Metastasis: Percutaneous Vertebroplasty With Radiofrequency Ablation, 125I Seed, Zoledronic Acid, or Radiotherapy?",[2023] Bilateral percutaneous kyphoplasty achieves more satisfactory outcomes compared to unilateral percutaneous kyphoplasty in osteoporotic vertebral compression fractures: A comprehensive comparative study. | [2023] A comparative study of PSPVP and PSIBG in the treatment of stage II-III Kummell's disease. | [2023] Minimally invasive decompression alone versus fusion surgery for acute lumbar disk herniation combined incomplete cauda equina syndrome.,0.3,1344.2,China,88.6,1.3,4.6,9815790,15.9,18.6,0.173,4.0,1.0,1532,,,
return to sport,3,2018,2025,1.926,1.615,2407,"the mean lysholm (lift 16.4, wsp. 11); slap lesion (lift 15.5, wsp. 11); iv therapeutic case (lift 11.9, wsp. 17); mean lysholm (lift 11.4, wsp. 11); mean lysholm score (lift 11.1, wsp. 8)",[2017] Lemierre Disease: A Case With Multilevel Epidural Abscess and Aggressive Neurological Weakness: Case Report and Literature Review. | [2018] The Open Bankart Repair for Traumatic Anterior Shoulder Instability in Teenage Athletes. | [2018] What's New in Pediatric and Adolescent Anterior Cruciate Ligament Injuries?,[2023] Quadriceps Strength and Knee-Related Symptom State 6 Months After Anterior Cruciate Ligament Reconstruction. | [2023] Validation of a Survey to Characterize Barriers to Physical Activity After Anterior Cruciate Ligament Reconstruction. | [2023] Editorial Commentary: Return to Play in Overhead Athletes After Biceps Tenodesis for SLAP Lesions Is Inconsistent.,0.8,1097.4,USA,35.7,6.6,10.2,7609541,12.5,19.7,0.075,9.2,1.0,1722,,,
meta analysis of,3,2014,2024,1.674,1.6,2715,"quasi randomized (lift 16.3, wsp. 13); searched the cochrane (lift 12.3, wsp. 8); conclusion on the (lift 11.6, wsp. 9); xa (lift 11.0, wsp. 8); cervical arthroplasty (lift 10.3, wsp. 6)",[2013] Prevalence of adjacent segment degeneration after spine surgery: a systematic review and meta-analysis. | [2013] Meta-analysis of vertebral augmentation compared with conservative treatment for osteoporotic spinal fractures. | [2013] Risk factors for new osteoporotic vertebral compression fractures after vertebroplasty: a systematic review and meta-analysis.,[2023] Individual participant data meta-analysis of metabolomics on sustained knee pain in primary osteoarthritis patients. | [2023] Management of Proximal Humeral Fractures in Adults: A Systematic Review and Meta-Analysis. | [2023] Predictors of Persistent Post-Surgical Pain Following Total Knee Arthroplasty: A Systematic Review and Meta-Analysis of Observational Studies.,0.4,1792.1,China,37.8,5.4,8.2,101265112,5.5,57.1,0.066,10.5,0.95,2349,,,
reoperation rate,2,2020,2025,1.866,1.57,2296,"cervical arthroplasty (lift 12.9, wsp. 6); have been few (lift 12.3, wsp. 6); disc replacement tdr (lift 11.9, wsp. 7); background data there (lift 11.4, wsp. 8); tdr (lift 11.2, wsp. 9)",[2019] Comparison of Outcomes Following Anterior vs Posterior Fusion Surgery for Patients With Degenerative Cervical Myelopathy: An Analysis From Quality Outcomes Database. | [2019] Outpatient and Inpatient Single-level Cervical Total Disc Replacement: A Comparison of 30-day Outcomes. | [2019] Reoperation Rate After Microsurgical Uni- or Bilateral Laminotomy for Lumbar Spinal Stenosis With and Without Low-grade Spondylolisthesis: What do Preoperative Radiographic Parameters Tell Us?,[2023] Functional Outcomes of Dorsal Bridge Plating for Lisfranc Injuries With Routine Implant Retention: A Major Trauma Center Experience. | [2023] Management of Proximal Humeral Fractures in Adults: A Systematic Review and Meta-Analysis. | [2023] Improvement following minimally invasive transforaminal lumbar interbody fusion in patients aged 70 years or older compared with younger age groups.,0.3,1156.4,USA,46.4,4.2,13.5,8703515,6.5,41.2,0.101,6.9,1.0,1344,,,
a meta analysis,3,2014,2020,1.576,1.403,2893,"quasi randomized (lift 16.4, wsp. 17); cervical arthroplasty (lift 14.5, wsp. 11); searched the cochrane (lift 9.4, wsp. 8); we carried out (lift 9.2, wsp. 6); prevention of venous (lift 8.4, wsp. 8)",[2013] Mid- to long-term outcomes in adolescent idiopathic scoliosis after instrumented posterior spinal fusion: a meta-analysis. | [2013] Reply to letter to the editor: Is there really no benefit of vertebroplasty for osteoporotic vertebral fractures? A meta-analysis. | [2013] Letter to the editor: Is there really no benefit of vertebroplasty for osteoporotic vertebral fractures? A meta-analysis.,"[2023] The subscapularis muscle: A meta-analysis of its variations, prevalence, and anatomy. | [2023] Is unilateral pedicle screw fixation as effective as bilateral pedicle screw fixation in transforaminal lumbar interbody fusion: a meta-analysis of randomized controlled trials. | [2023] Comparing external fixators and intramedullary nailing for treating open tibia fractures: a meta-analysis of randomized controlled trials.",0.4,1828.1,China,51.7,3.4,8.5,2985248R,8.0,42.7,0.044,15.8,0.84,2481,,,
and reoperation,2,2017,2025,1.639,1.372,1964,"with bone morphogenetic (lift 16.0, wsp. 6); therapeutic study see (lift 12.4, wsp. 4); study see (lift 12.2, wsp. 5); migration or (lift 10.7, wsp. 4); believed to be (lift 10.6, wsp. 5)",[2016] Polyetheretherketone (PEEK) Rods in Lumbar Spine Degenerative Disease: A Case Series. | [2016] Preoperative Nutritional Status as an Adjunct Predictor of Major Postoperative Complications Following Anterior Cervical Discectomy and Fusion. | [2016] Variation in 60-day Readmission for Surgical-site Infections (SSIs) and Reoperation Following Spinal Fusion Operations for Neuromuscular Scoliosis.,[2023] Management of Proximal Humeral Fractures in Adults: A Systematic Review and Meta-Analysis. | [2023] A 10- to 12-year follow-up study of delta ceramic-on-ceramic total hip arthroplasty. | [2023] The implementation of enhanced recovery after surgery pathway in patients undergoing posterior thoracolumbar fusion for degenerative spinal deformity.,0.3,1322.0,USA,52.5,3.4,15.2,8703515,10.4,33.3,0.095,7.3,1.0,1555,,,
commentary,1,2010,2024,1.701,1.252,2285,"total disc (lift 5.3, wsp. 4); disc replacement (lift 3.7, wsp. 4)","[2009] The Manitoba arthroplasty waiting list: impact on health-related quality of life and initiatives to remedy the problem. | [2009] Commentary on ""dialysis access steal syndromes"". | [2009] Case study. Waiting it out. Commentary.",[2023] Commentary on: Outcomes of Tibiotalocalcaneal Hindfoot Fusion Nails Used for Acute Lower Extremity Trauma in a High-Risk Patient Population. | [2023] Editorial Commentary: We Should Be Cautious About Using Catching and Locking as an Indication for Knee Arthroscopy: Mechanical Symptoms May Be Multifactorial in Their Causes. | [2023] Editorial Commentary: Excessive Femoral Retroversion and Increased Femoral Anteversion Has a Negative Effect on Hip Arthroscopy Outcomes: Symptomatic Extremes of Version Require an Osteotomy.,1.6,760.3,USA,70.7,2.0,43.5,8506498,54.3,3.0,0.106,6.5,0.47,2243,,,
